vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
1,0.348411180496,0.314721995571,0.147445703993,756000.0,13.5,3.249e-05
2,2.58266700463,2.51777596456,2.24608501931,5604000.0,108.0,0.00049493
9,96.1817637164,96.328243385,97.1684434426,208700000.0,4132.0,0.02141129
16,0.691292024794,0.629443991141,0.411522820502,1500000.0,27.0,9.068e-05
19,0.195866073692,0.209814663714,0.0265030135832,425000.0,9.0,5.84e-06
Total,100,100,100,216985000.0,4289.5,0.02203523
