vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
34,91.6925642386,92.6266280753,88.8888888889,6.0485e+14,12801000000.0,122880000.0
47,8.30743576139,7.37337192475,11.1111111111,5.48e+13,1019000000.0,15360000.0
Total,100,100,100,6.5965e+14,13820000000.0,138240000.0
