vrfid,PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
34,70.9208400646,66.0127513487,88.8888888889,8.78e+13,1346000000.0,122880000.0
47,29.0791599354,33.9872486513,11.1111111111,3.6e+13,693000000.0,15360000.0
Total,100,100,100,1.238e+14,2039000000.0,138240000.0
