vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
34,88.4038824307,89.2070964635,70.8994734299,91.6875193713,5.50041024576e+15,1.1313376e+11,6.9680012288e+14,4.80361012288e+15
47,11.5961175693,10.7929035365,29.1005265701,8.31248062875,7.2150003072e+14,13687720000.0,2.8600001536e+14,4.3550001536e+14
Total,100,100,100,100,6.22191027648e+15,1.2682148e+11,9.8280013824e+14,5.23911013824e+15
