vrfid,PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
1,0.000342288329595,0.00401500294708,0.000296614786667,4034500000.0,30500.0,0.333598
2,38.0116927534,15.5340793121,44.0866601902,4.48037987724e+14,118004750.0,49583.57549
5,0.00127544715788,0.0248798543278,0.00109040997272,15033499870.0,189000.0,1.226367
9,61.0942219738,80.9733946817,54.8683634312,7.20108216499e+14,615115000.0,61709.588081
15,0.000189193945966,0.00197459161332,0.000150659164359,2230000000.0,15000.0,0.169444
16,0.820409544527,3.30777005091,0.985849523373,9.67004136923e+12,25127500.0,1108.769502
19,0.0718687988516,0.153886506398,0.0575891712715,8.4710650027e+11,1169000.0,64.769638
Total,100,100,100,1.17868465009e+15,759650750.0,112468.43212
