vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
1,0.000861943447193,0.00846807708643,0.000765034116777,7004000000.0,58500.0,0.55928
2,9.83196297521,6.34082374559,13.4676977517,7.98927921578e+13,43804300.0,9845.5922859
5,0.00178314241377,0.0269965192584,0.0016068219693,14489499870.0,186500.0,1.174671
9,88.6516916471,89.0345205143,84.4391227124,7.20367966504e+14,615077000.0,61729.420316
15,0.000433186883798,0.00636915199663,0.000362800276528,3520000000.0,44000.0,0.265226
16,1.46215006752,4.42106000639,2.04990001367,1.18811728382e+13,30542000.0,1498.584252
19,0.0511170374806,0.161761985369,0.0405448657839,4.153680055e+11,1117500.0,29.64042
Total,100,100,100,8.12582313006e+14,690829800.0,73105.2364509
